nickname,time,Post,Bag Of Words,Label
CleaningLikeAMotherFucker,Sun 29-Jan-17 11:59:17, The decision to go NC with my only sibling I mean., The decision to go NC with my only sibling I mean.,False
serialtester,Sun 29-Jan-17 12:25:15, I'd like to go into a nursing home by the sea where I'm wrapped in a blanket and fed warm milk with a tot of brandy in it. Is rehab like that do you think?!, I'd like to go into a nursing home by the sea where I'm wrapped in a blanket and fed warm milk with a tot of brandy in it. Is rehab like that do you think?!,False
ILostItInTheEarlyNineties,Sun 29-Jan-17 12:40:08, And sweet nurses stroke your hand and bring you cheese toasties. , And sweet nurses stroke your hand and bring you cheese toasties. ,False
flatwhite45,Sun 29-Jan-17 14:04:58,"Fueled, I was so touched to read your post, thank you for the encouragement! So glad you kept reading long enough to realise how normal we all are (well as normal as you can be whilst permanently wearing a bouncy aid). Hope your cold gets better and do pop in again soon. ","Fueled, I was so touched to read your post, thank you for the encouragement! So glad you kept reading long enough to realise how normal we all are (well as normal as you can be whilst permanently wearing a bouncy aid). Hope your cold gets better and do pop in again soon. ",False
flatwhite45,Sun 29-Jan-17 14:11:51,"Cleaning, glad you are back on board (nice marigolds I must say). Bran it's brilliant to hear from someone who has pulled through, I have considered rehab, but feel it would be enormously disruptive to my family (3 dc's under 8 and a DH), however I haven't ruled it out, as I am acutely aware of the enormous damage I could potentially do to our lives if I don't get on top of this awful addiction. What was it that finally helped you kick it brAn?","Cleaning, glad you are back on board (nice marigolds I must say). Bran it's brilliant to hear from someone who has pulled through, I have considered rehab, but feel it would be enormously disruptive to my family (3 dc's under 8 and a DH), however I haven't ruled it out, as I am acutely aware of the enormous damage I could potentially do to our lives if I don't get on top of this awful addiction. What was it that finally helped you kick it brAn?",False
serialtester,Sun 29-Jan-17 14:12:45, I could murder a cheese toastie!, I could murder a cheese toastie!,False
serialtester,Sun 29-Jan-17 14:15:40," Bran, what resonates with me from your post is having it's really hard work to relearn how to enjoy things without the intense drug high. It's always there, thinking ""this would be so much better if I had a line"""," Bran, what resonates with me from your post is having it's really hard work to relearn how to enjoy things without the intense drug high. It's always there, thinking ""this would be so much better if I had a line""",False
flatwhite45,Sun 29-Jan-17 14:25:17,Yup me too serial!,Yup me too serial!,False
CleaningLikeAMotherFucker,Sun 29-Jan-17 14:33:33,Having a lovely family afternoon. By family I mean us 3 only. Genuinely have so much more clarity today. I take full responsibility for my bad choices but a lot of the voices in my head that make me feel shit are parroted versions of various comments made by relatives over the years. Yesterday was a real eye opener ,Having a lovely family afternoon. By family I mean us 3 only. Genuinely have so much more clarity today. I take full responsibility for my bad choices but a lot of the voices in my head that make me feel shit are parroted versions of various comments made by relatives over the years. Yesterday was a real eye opener ,False
ILostItInTheEarlyNineties,Sun 29-Jan-17 15:34:57," Enjoy your family today, cleaning  and be kind to yourself today."," Enjoy your family today, cleaning  and be kind to yourself today.",False
flatwhite45,Sun 29-Jan-17 16:10:59,Lost how is your husbands eye?,Lost how is your husbands eye?,False
ILostItInTheEarlyNineties,Sun 29-Jan-17 16:20:54,"We've just got back, I thought we'd be in and out, silly me!He had a tiny splinter of ceramic tile in it so they removed it and given him cream for the scratch and a lecture about safety glasses. And he's stopped saying Argh my eye now.Thanks for asking and massive well done on this weekend for you. You should be proud of yourself. Hope you caught some crabs. ","We've just got back, I thought we'd be in and out, silly me!He had a tiny splinter of ceramic tile in it so they removed it and given him cream for the scratch and a lecture about safety glasses. And he's stopped saying Argh my eye now.Thanks for asking and massive well done on this weekend for you. You should be proud of yourself. Hope you caught some crabs. ",False
ILostItInTheEarlyNineties,Sun 29-Jan-17 16:21:53," The crustacean variety I mean, that sounded weird "," The crustacean variety I mean, that sounded weird ",False
serialtester,Sun 29-Jan-17 16:25:37,Lost - hope you're keeping an eye on him! Arf!Flat - big well done to you this weekend!,Lost - hope you're keeping an eye on him! Arf!Flat - big well done to you this weekend!,False
ILostItInTheEarlyNineties,Sun 29-Jan-17 16:26:53, Aye (see what I did there?), Aye (see what I did there?),False
CleaningLikeAMotherFucker,Sun 29-Jan-17 16:26:58,Lol at the crabs And sorry lost didn't see the post about you dh. Hope he's ok!,Lol at the crabs And sorry lost didn't see the post about you dh. Hope he's ok!,False
flatwhite45,Sun 29-Jan-17 16:33:45,"Ha ha! Yes caught a few crabs thanks lost! Glad your poor DH is better, enjoy your Sunday afternoon together. He sounds like quite the action man This is the first Sunday in months that I have been clean, such a great feeling. I can't say I am proud of myself though, the cravings were VERY intense, and if we had been at home, I would have definitely caved! That is quite worrying. I have nothing like your willpower, really hope that changes soon, or I may have to seriously consider a permanent move to Suffolk.","Ha ha! Yes caught a few crabs thanks lost! Glad your poor DH is better, enjoy your Sunday afternoon together. He sounds like quite the action man This is the first Sunday in months that I have been clean, such a great feeling. I can't say I am proud of myself though, the cravings were VERY intense, and if we had been at home, I would have definitely caved! That is quite worrying. I have nothing like your willpower, really hope that changes soon, or I may have to seriously consider a permanent move to Suffolk.",False
serialtester,Sun 29-Jan-17 16:50:06," I had no willpower last night flat. Only staying indoors and this thread got me through the cravings. It's a day by day, hour by hour thing when you're on the surfboard!"," I had no willpower last night flat. Only staying indoors and this thread got me through the cravings. It's a day by day, hour by hour thing when you're on the surfboard!",False
serialtester,Sun 29-Jan-17 16:50:50, Clean Sundays are great though!, Clean Sundays are great though!,False
ILostItInTheEarlyNineties,Sun 29-Jan-17 16:56:46,"Well you didn't pack up and drive home from Suffolk on Saturday night did you? There's some will power in you don't worry about that. You'll get there. Next on the list, a clean weekend at home.Bwah ha ha at action man. A slightly greying, damaged one with a dodgy eye that no one wants to buy at the school fete. ","Well you didn't pack up and drive home from Suffolk on Saturday night did you? There's some will power in you don't worry about that. You'll get there. Next on the list, a clean weekend at home.Bwah ha ha at action man. A slightly greying, damaged one with a dodgy eye that no one wants to buy at the school fete. ",False
rainbowdash17,Sun 08-Jan-17 04:07:33,I'm about to go cold turkey from cocaine.It's time to! Definitely My weak points are when I'm tempted to buy some (usually evenings)Can I message on here when I'm tempted for a pep talk on why I shouldn't & reassurance that it's ok?I think it would really help me Do you reckon we can do this?,I'm about to go cold turkey from cocaine.It's time to! Definitely My weak points are when I'm tempted to buy some (usually evenings)Can I message on here when I'm tempted for a pep talk on why I shouldn't & reassurance that it's ok?I think it would really help me Do you reckon we can do this?,False
serialtester,Sun 29-Jan-17 17:20:42, School fetes are great aren't they? Really separates the men from the boys. Remember delivering my shit fairy cakes in a carrier bag to a cake stall at the same time as uber mum rocked up with her perfect ones on a silver platter covered with a pristine white tea towel!, School fetes are great aren't they? Really separates the men from the boys. Remember delivering my shit fairy cakes in a carrier bag to a cake stall at the same time as uber mum rocked up with her perfect ones on a silver platter covered with a pristine white tea towel!,False
serialtester,Sun 29-Jan-17 17:21:39, And she balanced the platter on one hand while holding a perfectly behaved toddler in the other!, And she balanced the platter on one hand while holding a perfectly behaved toddler in the other!,False
ILostItInTheEarlyNineties,Sun 29-Jan-17 17:30:41,"Tsk, there's always one. I remember being coerced into manning the toy stall at a fete in the rain with an epic hangover and come down years ago. Smiling and chatting to all the mums and children for two hours nearly broke me. Bad times man.","Tsk, there's always one. I remember being coerced into manning the toy stall at a fete in the rain with an epic hangover and come down years ago. Smiling and chatting to all the mums and children for two hours nearly broke me. Bad times man.",False
ILostItInTheEarlyNineties,Sun 29-Jan-17 17:34:15, I had such a headache I thought I would collapse on the grass with a stroke or something and be found later lying under the table dribbling. I've never been so happy to be relieved from a stall., I had such a headache I thought I would collapse on the grass with a stroke or something and be found later lying under the table dribbling. I've never been so happy to be relieved from a stall.,False
flatwhite45,Sun 29-Jan-17 17:43:14,"Uber mums are the Bain of my life, as if I don't feel bad enough about my 'skin of my life' parenting techniques....they just make me feel a whole lot worse.","Uber mums are the Bain of my life, as if I don't feel bad enough about my 'skin of my life' parenting techniques....they just make me feel a whole lot worse.",False
serialtester,Sun 29-Jan-17 18:40:16," Lost, I had a similar experience during my brief career as a ""dance mom""!! Flat, please never be an uber mom!"," Lost, I had a similar experience during my brief career as a ""dance mom""!! Flat, please never be an uber mom!",False
ILostItInTheEarlyNineties,Sun 29-Jan-17 19:14:57, Being a dance mom sounds very challenging indeed. Throw in a bad come down and it all sounds a bit hellish., Being a dance mom sounds very challenging indeed. Throw in a bad come down and it all sounds a bit hellish.,False
serialtester,Sun 29-Jan-17 20:19:13, Have you seen the film fear and loathing in Las Vegas? Was like that., Have you seen the film fear and loathing in Las Vegas? Was like that.,False
ILostItInTheEarlyNineties,Sun 29-Jan-17 20:28:42,"Just Googled that film, ""After a massive drugs binge the main characters fall deeper into a frightening psychedelic other world"" That's some heavy shit, serial you are funny.The Lost house is going into meltdown with a homework crisis and laptop issues. It's all pretty tense here.","Just Googled that film, ""After a massive drugs binge the main characters fall deeper into a frightening psychedelic other world"" That's some heavy shit, serial you are funny.The Lost house is going into meltdown with a homework crisis and laptop issues. It's all pretty tense here.",False
CleaningLikeAMotherFucker,Sun 29-Jan-17 21:00:14,For me the ultimate  scene is in The Departed... Jack Nicholson chucking handfuls of the stuff out of a bowl. Although I must say that the consistency of the prop powder used was all wrong We cooked dinner as a family tonight and feeling relaxed. Good luck Lost!,For me the ultimate  scene is in The Departed... Jack Nicholson chucking handfuls of the stuff out of a bowl. Although I must say that the consistency of the prop powder used was all wrong We cooked dinner as a family tonight and feeling relaxed. Good luck Lost!,False
flatwhite45,Sun 29-Jan-17 21:05:48,"Serial a dance mum?  I SO don't imagine you as one of those! Lost I can't get the image of you under a school fete table looking paranoid and anxious, out of my mind. That would have got the uber mums gossiping. Hope things have settled down your end with the homework crisis. My two year old is still up singing the wheels on the bus manically, whilst I TRY to type this and sneak minstrels into my mouth from under a strategically placed tea towel. Think I am going to give up and just get an early night! ","Serial a dance mum?  I SO don't imagine you as one of those! Lost I can't get the image of you under a school fete table looking paranoid and anxious, out of my mind. That would have got the uber mums gossiping. Hope things have settled down your end with the homework crisis. My two year old is still up singing the wheels on the bus manically, whilst I TRY to type this and sneak minstrels into my mouth from under a strategically placed tea towel. Think I am going to give up and just get an early night! ",False
flatwhite45,Sun 29-Jan-17 21:07:18,Cleaning glad you have ended the week happily with your lovely family,Cleaning glad you have ended the week happily with your lovely family,False
CleaningLikeAMotherFucker,Sun 29-Jan-17 21:15:38,Thanks flat! Yy re serial I feel like a weight has been lifted re giving people the chopIt's a relief. Time to start believing in myself.,Thanks flat! Yy re serial I feel like a weight has been lifted re giving people the chopIt's a relief. Time to start believing in myself.,False
serialtester,Sun 29-Jan-17 21:18:57, That's positive clean! I was only a dance mom for a few months. It's why I need drugs!!, That's positive clean! I was only a dance mom for a few months. It's why I need drugs!!,False
serialtester,Sun 29-Jan-17 21:20:10," Lost, I've escaped a similar drama by going to the pub!"," Lost, I've escaped a similar drama by going to the pub!",False
ILostItInTheEarlyNineties,Sun 29-Jan-17 21:50:41,"At the risk of rounding like a really cheesy dance mom; never stop believing in yourself, Cleaning. the consistency of the prop powder was all wrong ha ha that's the sort of detail I always look at.Wheels on the Bus is sweet but maybe a bit draining on repeat . The singing class is certainly paying off.I did wonder if you might come home from Suffolk and go into a ""yay we're home, let's celebrate"" mode so glad to hear everyone on the wagon tonight. Homework now finished. Dramatics have now calmed down.","At the risk of rounding like a really cheesy dance mom; never stop believing in yourself, Cleaning. the consistency of the prop powder was all wrong ha ha that's the sort of detail I always look at.Wheels on the Bus is sweet but maybe a bit draining on repeat . The singing class is certainly paying off.I did wonder if you might come home from Suffolk and go into a ""yay we're home, let's celebrate"" mode so glad to hear everyone on the wagon tonight. Homework now finished. Dramatics have now calmed down.",False
serialtester,Sun 29-Jan-17 22:24:12, We're all on the surfboard tonight! Fantastic!, We're all on the surfboard tonight! Fantastic!,False
CleaningLikeAMotherFucker,Sun 29-Jan-17 22:26:09, Yep I'm and polishing it in honour of us all being on it! Let's have some organic houmous to celebrate , Yep I'm and polishing it in honour of us all being on it! Let's have some organic houmous to celebrate ,False
ILostItInTheEarlyNineties,Mon 30-Jan-17 08:38:03,Morning everyone. Finished the weekend on a high (probably wrong word) yesterday after all having a clean Sunday. Here's to a strong week for all of us .,Morning everyone. Finished the weekend on a high (probably wrong word) yesterday after all having a clean Sunday. Here's to a strong week for all of us .,False
GotToGetMyFingerOut,Mon 30-Jan-17 09:44:48,Morning everyone had a day spent with the family yesterday with my mobile off the whole day. Resisted Saturday night and just had a nice night with a bottle of wine. Felt great yesterday and did housework and washing then went a big walk and to the cinema and an early night.Feel great today no downer Lost that sounds agony your husbands eye! Hope its better today.,Morning everyone had a day spent with the family yesterday with my mobile off the whole day. Resisted Saturday night and just had a nice night with a bottle of wine. Felt great yesterday and did housework and washing then went a big walk and to the cinema and an early night.Feel great today no downer Lost that sounds agony your husbands eye! Hope its better today.,False
CleaningLikeAMotherFucker,Mon 30-Jan-17 09:58:36," Sending lots of positive, clean thoughts to everyone today "," Sending lots of positive, clean thoughts to everyone today ",False
flatwhite45,Mon 30-Jan-17 10:15:33,"Yay!!! Well done all!! I am currently dancing around my living room (flash dance style) wearing a leotard and leg warmers, singing ""don't stop believing"" . We CAN do this people!!","Yay!!! Well done all!! I am currently dancing around my living room (flash dance style) wearing a leotard and leg warmers, singing ""don't stop believing"" . We CAN do this people!!",False
ILostItInTheEarlyNineties,Mon 30-Jan-17 10:17:13,"Thanks for the positive vibes Cleaning.GotTo Well done this weekend. Filling your weekend with other things and keeping busy is sometimes the best way.Thanks, the eye is ok, just a bit scratched so no lasting damage. He went to work without the cream in as it makes his vision all blurry! Keep strong, we're here if you're struggling ","Thanks for the positive vibes Cleaning.GotTo Well done this weekend. Filling your weekend with other things and keeping busy is sometimes the best way.Thanks, the eye is ok, just a bit scratched so no lasting damage. He went to work without the cream in as it makes his vision all blurry! Keep strong, we're here if you're struggling ",False
ILostItInTheEarlyNineties,Mon 30-Jan-17 10:20:17,"flat did you drop an E? (joking )It's an amazing feeling to get a whole clean weekend under your belt. It doesn't matter how you did it, you did it!Please send some of your amazing energy my way...","flat did you drop an E? (joking )It's an amazing feeling to get a whole clean weekend under your belt. It doesn't matter how you did it, you did it!Please send some of your amazing energy my way...",False
ScoobyDoosTinklyLaugh,Mon 30-Jan-17 11:03:41,"I just got sucked into scanning through this thread as it was in actives last night. Well done everyone!!  and  to all who need them!I have a story - I am a (unlikely) success story! A good few years ago I had a heavy cocaine habit. It went hand in hand with the barwork I did when I was younger. I think for about a year or so I kept up weekend/odd cheeky weeknight use which was fun but definitely had a negative influence at the time. I also did some really shitty things while on it, which dented my self esteem and worth. My relationship was fucked up because of it and I knew that I did not have a healthy relationship with coke at all. Me and DP moved to another close by city so I could stop going out so much. I still found a way and we broke up.After the breakup my usage went up massively. To most nights, before my day job, sometimes in my dayjob, at home alone. I also hung around with some horrible people at the time who I'd never bother with normally. I must say I did make my top three closest friends during my cocaine days though!Anyway I'm not sure how long the really heavy days lasted for but basically it stopped because I ran out of money and couldn't sustain the multiple jobs I was doing to pay for all the partying while I was partying so much. Also it coincided with a summer where there was some lovely very cheap ecstasy pills around. There were definitely some very sad and scary times where I was frantically googling stuff like 'shit I'm a coke addict' or when friends used to pull me up on my coke consumption I used to make a joke out of it but really I'd be horrified. I think I decided to change my relationship with it when I'd bought a few grams for me to stay home alone with because I thought that was really sad. Maybe. I'm not really sure when the turning point was but there was one. It took about 1-2 years for the association with drinking to go. I always used to want to ring a bag in as soon as I'd had a sip of something alcoholic  but it's gone. I also couldn't listen to certain music without wanting coke. I think coke changes something in your brain but I am proof that you can change it back again.I still take it now and again but I can honestly take it or leave it. I've had a baby since so my opportunities to go out and get on it are very limited and I like to think I'd never have it in the house. Well I am confident I wouldn't. I'll always be very careful with it now, I've turned jobs down where I've suspected heavy coke use among the staff because I think I could easily get back in the habit if I was around it all the time. Most of my close friends have lost a year or two to heavy drug use but we're all trying to be reasonable people now so none of us take drugs regularly. Festivals and special birthdays. Ultimately, I'll always love getting wrecked by one way or another but being wrecked all the time is not conducive to a nice life.Sorry if this is rambly I'm on my phone I read Grace Jones' autobiography the other month and she had an inspiring attitude to drugs. Probably not a good read if your currently trying to stop as it might be a bit too 'inspiring'  but maybe in 6 months or so for you all.","I just got sucked into scanning through this thread as it was in actives last night. Well done everyone!!  and  to all who need them!I have a story - I am a (unlikely) success story! A good few years ago I had a heavy cocaine habit. It went hand in hand with the barwork I did when I was younger. I think for about a year or so I kept up weekend/odd cheeky weeknight use which was fun but definitely had a negative influence at the time. I also did some really shitty things while on it, which dented my self esteem and worth. My relationship was fucked up because of it and I knew that I did not have a healthy relationship with coke at all. Me and DP moved to another close by city so I could stop going out so much. I still found a way and we broke up.After the breakup my usage went up massively. To most nights, before my day job, sometimes in my dayjob, at home alone. I also hung around with some horrible people at the time who I'd never bother with normally. I must say I did make my top three closest friends during my cocaine days though!Anyway I'm not sure how long the really heavy days lasted for but basically it stopped because I ran out of money and couldn't sustain the multiple jobs I was doing to pay for all the partying while I was partying so much. Also it coincided with a summer where there was some lovely very cheap ecstasy pills around. There were definitely some very sad and scary times where I was frantically googling stuff like 'shit I'm a coke addict' or when friends used to pull me up on my coke consumption I used to make a joke out of it but really I'd be horrified. I think I decided to change my relationship with it when I'd bought a few grams for me to stay home alone with because I thought that was really sad. Maybe. I'm not really sure when the turning point was but there was one. It took about 1-2 years for the association with drinking to go. I always used to want to ring a bag in as soon as I'd had a sip of something alcoholic  but it's gone. I also couldn't listen to certain music without wanting coke. I think coke changes something in your brain but I am proof that you can change it back again.I still take it now and again but I can honestly take it or leave it. I've had a baby since so my opportunities to go out and get on it are very limited and I like to think I'd never have it in the house. Well I am confident I wouldn't. I'll always be very careful with it now, I've turned jobs down where I've suspected heavy coke use among the staff because I think I could easily get back in the habit if I was around it all the time. Most of my close friends have lost a year or two to heavy drug use but we're all trying to be reasonable people now so none of us take drugs regularly. Festivals and special birthdays. Ultimately, I'll always love getting wrecked by one way or another but being wrecked all the time is not conducive to a nice life.Sorry if this is rambly I'm on my phone I read Grace Jones' autobiography the other month and she had an inspiring attitude to drugs. Probably not a good read if your currently trying to stop as it might be a bit too 'inspiring'  but maybe in 6 months or so for you all.",False
rainbowdash17,Sun 08-Jan-17 04:07:33,I'm about to go cold turkey from cocaine.It's time to! Definitely My weak points are when I'm tempted to buy some (usually evenings)Can I message on here when I'm tempted for a pep talk on why I shouldn't & reassurance that it's ok?I think it would really help me Do you reckon we can do this?,I'm about to go cold turkey from cocaine.It's time to! Definitely My weak points are when I'm tempted to buy some (usually evenings)Can I message on here when I'm tempted for a pep talk on why I shouldn't & reassurance that it's ok?I think it would really help me Do you reckon we can do this?,False
serialtester,Mon 30-Jan-17 11:47:40, Well done for knocking it on the head Scooby!, Well done for knocking it on the head Scooby!,False
ILostItInTheEarlyNineties,Mon 30-Jan-17 11:48:31,"Wow what a lovely post, Scooby. I definitely identify with a lot of the things you say, especially the way your brain associates cocaine with going out for a drink (I still really struggle with this- any tips really appreciated! ) and even music or certain places are triggering for me.I've did a hell of a lot of experimenting with drugs in my youth but my love affair with cocaine is the one that never seems to go. I feel like it's always there beckoning.It's really inspiring that you've turned things around. I still slip up and when I do I must admit it's quite a major binge  so I aspire to be more like you.Feel free to throw any pearls of wisdom around the thread ","Wow what a lovely post, Scooby. I definitely identify with a lot of the things you say, especially the way your brain associates cocaine with going out for a drink (I still really struggle with this- any tips really appreciated! ) and even music or certain places are triggering for me.I've did a hell of a lot of experimenting with drugs in my youth but my love affair with cocaine is the one that never seems to go. I feel like it's always there beckoning.It's really inspiring that you've turned things around. I still slip up and when I do I must admit it's quite a major binge  so I aspire to be more like you.Feel free to throw any pearls of wisdom around the thread ",False
ILostItInTheEarlyNineties,Mon 30-Jan-17 11:54:33," I sometimes wonder if people see our thread in active and think ""God a support thread for people addicted to eating cold turkey from last night's dinner, whatever next"" "," I sometimes wonder if people see our thread in active and think ""God a support thread for people addicted to eating cold turkey from last night's dinner, whatever next"" ",False
flatwhite45,Mon 30-Jan-17 12:06:10,"Ha ha lost, you have just made me LOL ....should we change the title d'ya think? Scooby, massive high five to you, it's brilliant to hear how you have moved on after quite a love affair with the demon coke. I am afraid I am one of those saddo's who enjoys it at home alone or with DH (I do go out too though, she says anxiously) Please stay on here if not too triggering for you, and chip in with some more advice","Ha ha lost, you have just made me LOL ....should we change the title d'ya think? Scooby, massive high five to you, it's brilliant to hear how you have moved on after quite a love affair with the demon coke. I am afraid I am one of those saddo's who enjoys it at home alone or with DH (I do go out too though, she says anxiously) Please stay on here if not too triggering for you, and chip in with some more advice",False
ILostItInTheEarlyNineties,Mon 30-Jan-17 12:18:07," It all started around Christmas time when we had a lot of Turkey leftovers in the house. Now I can't go a day without it. I can't get enough of the cold meaty stuff, please help."," It all started around Christmas time when we had a lot of Turkey leftovers in the house. Now I can't go a day without it. I can't get enough of the cold meaty stuff, please help.",False
ILostItInTheEarlyNineties,Mon 30-Jan-17 12:19:36," Yes, flat I'm one of the saddos that likes doing it in my house too.  One of my main trigger places is my kitchen which is awkward."," Yes, flat I'm one of the saddos that likes doing it in my house too.  One of my main trigger places is my kitchen which is awkward.",False
FruitCider,Mon 30-Jan-17 12:29:06,"Hello! Just read the thread after 3 long shifts at work and I feel really proud of you all! You are all doing so well, keep it up!I spent yesterday evening looking after a very young man who missed the doctor on Saturday evening and was experiencing such bad opiate withdrawals his whole body was jerking and he was howling. Gave him 10mg diazepam, 135mg mebeverine, 1g paracetamol, 600mg ibuprofen, 4mg loperamide and 10mg metoclopromide, then let him lay on the couch in my clinic for an hour whilst I played some relaxing music, gave him a hot cup of tea and we chatted whilst I did my paper work. The prison officers weren't very happy about it so I did it under the pretence that he needed monitoring. When he had calmed down I sent him to bed. Haven't seen opiate withdrawals that bad in all the years I have worked in substance misuse. The whole time I just wanted to mother him and give him a hug, it was really hard... it really bought it home how hard stopping drug use can be. Then I came home and read this thread full of hope, and I really needed it as much as you have! So thank you x","Hello! Just read the thread after 3 long shifts at work and I feel really proud of you all! You are all doing so well, keep it up!I spent yesterday evening looking after a very young man who missed the doctor on Saturday evening and was experiencing such bad opiate withdrawals his whole body was jerking and he was howling. Gave him 10mg diazepam, 135mg mebeverine, 1g paracetamol, 600mg ibuprofen, 4mg loperamide and 10mg metoclopromide, then let him lay on the couch in my clinic for an hour whilst I played some relaxing music, gave him a hot cup of tea and we chatted whilst I did my paper work. The prison officers weren't very happy about it so I did it under the pretence that he needed monitoring. When he had calmed down I sent him to bed. Haven't seen opiate withdrawals that bad in all the years I have worked in substance misuse. The whole time I just wanted to mother him and give him a hug, it was really hard... it really bought it home how hard stopping drug use can be. Then I came home and read this thread full of hope, and I really needed it as much as you have! So thank you x",False
ILostItInTheEarlyNineties,Mon 30-Jan-17 12:54:10,Thanks fruit Your job sounds so hard and you sound like some sort of kind compassionate Angel. I'm sure that man will always remember how you helped him. xWe joke about it but it is hard and scary sometimes.,Thanks fruit Your job sounds so hard and you sound like some sort of kind compassionate Angel. I'm sure that man will always remember how you helped him. xWe joke about it but it is hard and scary sometimes.,False
serialtester,Mon 30-Jan-17 13:13:35," Fruit, It's lovely that you were so kind to him."," Fruit, It's lovely that you were so kind to him.",False
serialtester,Mon 30-Jan-17 13:14:21," Anyway lost, I can stop eating turkey any time i want to!"," Anyway lost, I can stop eating turkey any time i want to!",False
flatwhite45,Mon 30-Jan-17 13:17:09,"Fruit thank you for popping in again, it's good to hear that a professional drugs worker feels hopeful for us all. Hope you can rest well after your tough shifts.Lost new title suggestion: school mums addicted to baths, buoyancy aids, Russell Brand and class A drugs PLEASE HELP","Fruit thank you for popping in again, it's good to hear that a professional drugs worker feels hopeful for us all. Hope you can rest well after your tough shifts.Lost new title suggestion: school mums addicted to baths, buoyancy aids, Russell Brand and class A drugs PLEASE HELP",False
ILostItInTheEarlyNineties,Mon 30-Jan-17 13:27:47,"Yes we have an official seal of approval from an actual professional. This must be very good. We're going to be ok.!Love the way you sneaked the class A thing in at the end of your title, flat.  What a brilliant title for our next thread, it's genius (mixed with a little madness).","Yes we have an official seal of approval from an actual professional. This must be very good. We're going to be ok.!Love the way you sneaked the class A thing in at the end of your title, flat.  What a brilliant title for our next thread, it's genius (mixed with a little madness).",False
ILostItInTheEarlyNineties,Mon 30-Jan-17 13:30:30," serial put the turkey down, move away from the cold meat. You won't be able to stop at a sandwich."," serial put the turkey down, move away from the cold meat. You won't be able to stop at a sandwich.",False
flatwhite45,Mon 30-Jan-17 13:32:23,Hee hee  funny ladeeezzzz,Hee hee  funny ladeeezzzz,False
FruitCider,Mon 30-Jan-17 15:21:24,"LOL at the turkey comments! I'm still struggling with my nicotine addiction, living room is very foggy right now!I think just treating humans as humans is the right thing to do in these circumstances. Anyone can become an addict, no-one chooses it. These are people's children that I work with. I just think about how I would want my own child to be treated... or father, or brother etc. Sometimes just rehumanising someone can give them the hope they need to help themselves.","LOL at the turkey comments! I'm still struggling with my nicotine addiction, living room is very foggy right now!I think just treating humans as humans is the right thing to do in these circumstances. Anyone can become an addict, no-one chooses it. These are people's children that I work with. I just think about how I would want my own child to be treated... or father, or brother etc. Sometimes just rehumanising someone can give them the hope they need to help themselves.",False
ILostItInTheEarlyNineties,Mon 30-Jan-17 16:29:56, I would very much like a snuggly nest fruit , I would very much like a snuggly nest fruit ,False
flatwhite45,Mon 30-Jan-17 16:39:18,"Lost, is that you under the school fete stall?","Lost, is that you under the school fete stall?",False
ILostItInTheEarlyNineties,Mon 30-Jan-17 16:45:00,"  yes, in a ball, gently rocking to soothe myself.","  yes, in a ball, gently rocking to soothe myself.",False
flatwhite45,Mon 30-Jan-17 17:00:13,"Ha ha, that's me there joining you","Ha ha, that's me there joining you",False
ILostItInTheEarlyNineties,Mon 30-Jan-17 17:05:31,We can hide from the PTA woman that comes round with a clipboard forcing asking you to volunteer I have to admit I did hide from her a few times in the playground.,We can hide from the PTA woman that comes round with a clipboard forcing asking you to volunteer I have to admit I did hide from her a few times in the playground.,False
ILostItInTheEarlyNineties,Mon 30-Jan-17 17:07:52," I mean, just hid in the crowds, I didn't crouch in bushes or anything, I'm not that crazy.  I sound unhinged."," I mean, just hid in the crowds, I didn't crouch in bushes or anything, I'm not that crazy.  I sound unhinged.",False
flatwhite45,Mon 30-Jan-17 17:41:32,"You do a bit! Actually that last pic reminds me of my crabbing clubbing days, when a giant parachute was brought out at the end of the night, to calm everyone down. Lots of loved up strangers all giving each other shoulder massages. ","You do a bit! Actually that last pic reminds me of my crabbing clubbing days, when a giant parachute was brought out at the end of the night, to calm everyone down. Lots of loved up strangers all giving each other shoulder massages. ",False
ILostItInTheEarlyNineties,Mon 30-Jan-17 18:18:22," Aww yes, sweaty hugs and Born Slippy "," Aww yes, sweaty hugs and Born Slippy ",False
serialtester,Mon 30-Jan-17 18:20:14, Sometimes I've fantasised about spiking the PTA lot with Class A's. Bake perfect shit then motherfuckers!!, Sometimes I've fantasised about spiking the PTA lot with Class A's. Bake perfect shit then motherfuckers!!,False
serialtester,Mon 30-Jan-17 18:21:33, Have chopped up some turkey on Cleans granite work surfaces. Have got the branston pickle out. We are going to party hard!, Have chopped up some turkey on Cleans granite work surfaces. Have got the branston pickle out. We are going to party hard!,False
rainbowdash17,Sun 08-Jan-17 04:07:33,I'm about to go cold turkey from cocaine.It's time to! Definitely My weak points are when I'm tempted to buy some (usually evenings)Can I message on here when I'm tempted for a pep talk on why I shouldn't & reassurance that it's ok?I think it would really help me Do you reckon we can do this?,I'm about to go cold turkey from cocaine.It's time to! Definitely My weak points are when I'm tempted to buy some (usually evenings)Can I message on here when I'm tempted for a pep talk on why I shouldn't & reassurance that it's ok?I think it would really help me Do you reckon we can do this?,False
ILostItInTheEarlyNineties,Mon 30-Jan-17 18:31:54,This turkey thing is getting out of hand Play it to the end guys; an empty turkey carcass and meat sweats.,This turkey thing is getting out of hand Play it to the end guys; an empty turkey carcass and meat sweats.,False
